epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7563,2.55104,9.53759,1.18014,0.00017,0.05263,0.0001,6e-05,2.51225,9.28314,1.06562,0.0001,0.0001,0.0001
2,50.9768,2.01927,7.21216,1.00533,0.00083,0.26316,0.00077,0.00018,2.33048,7.84986,0.98624,0.000215644,0.000215644,0.000215644
3,73.7742,1.94921,5.05217,0.98854,0.00017,0.05263,0.00012,7e-05,2.68396,8.12724,1.01559,0.000326536,0.000326536,0.000326536
4,97.3927,2.3605,9.31393,0.97953,0.0005,0.15789,0.00057,0.00017,2.81809,8.50506,0.99925,0.000432676,0.000432676,0.000432676
5,121.843,2.10587,5.31229,1.01614,0.00133,0.42105,0.00289,0.00066,1.99537,6.6182,0.90914,0.000534064,0.000534064,0.000534064
6,147.705,1.93874,4.1231,0.98796,0.0015,0.47368,0.00351,0.00067,1.81369,6.62395,0.8922,0.0006307,0.0006307,0.0006307
7,173.551,1.73537,3.59121,0.93198,0.00133,0.42105,0.00261,0.00056,1.87829,6.5391,0.89775,0.000722584,0.000722584,0.000722584
8,198.678,1.93252,3.98899,0.96957,0.00133,0.42105,0.00174,0.00037,1.94153,6.17303,0.93107,0.000809716,0.000809716,0.000809716
9,223.435,1.90516,3.19161,1.02348,0.00117,0.36842,0.00111,0.00033,2.13189,5.97944,0.94829,0.000892096,0.000892096,0.000892096
10,248.026,1.97129,4.18487,0.98622,0.00233,0.73684,0.03287,0.01004,2.15752,5.69709,0.99447,0.000969724,0.000969724,0.000969724
11,275.849,1.68628,2.82671,0.97956,0.00233,0.73684,0.03763,0.02055,1.84669,5.24952,0.93183,0.0010426,0.0010426,0.0010426
12,305.144,1.93661,2.99698,0.97029,0.00283,0.89474,0.47518,0.20608,1.82613,5.04259,0.89864,0.00111072,0.00111072,0.00111072
13,330.254,1.81035,3.10104,0.92202,0.00267,0.84211,0.35493,0.12447,1.91105,5.0034,0.91574,0.0011741,0.0011741,0.0011741
14,355.105,1.81844,3.05619,1.00676,1,0.24507,0.50884,0.2074,1.90094,4.30084,0.91888,0.00123272,0.00123272,0.00123272
15,381.935,1.97392,3.59036,0.97889,1,0.30931,0.54161,0.23324,1.87468,4.40324,0.92032,0.00128658,0.00128658,0.00128658
16,417.509,1.70357,2.90319,0.90212,0.84679,0.2929,0.68934,0.29004,1.88531,3.82086,0.92591,0.0013357,0.0013357,0.0013357
17,447.764,1.68213,2.40088,0.94155,0.91038,0.53527,0.74237,0.34402,1.84752,3.60356,0.93388,0.0013664,0.0013664,0.0013664
18,476.43,1.75318,2.17549,0.94471,1,0.51872,0.72315,0.25918,1.95697,3.47806,0.94054,0.0013268,0.0013268,0.0013268
19,502.659,1.86377,2.38932,0.96941,1,0.64115,0.75163,0.33154,1.75444,3.18827,0.93803,0.0012872,0.0012872,0.0012872
20,527.952,1.74079,2.24796,0.95991,0.85526,0.62254,0.72446,0.35541,1.71264,3.1112,0.9207,0.0012476,0.0012476,0.0012476
21,552.771,1.78363,2.27543,0.98571,0.86149,0.57895,0.7342,0.34545,1.76177,2.9373,0.92791,0.001208,0.001208,0.001208
22,578.359,1.93178,2.63018,0.98101,0.92593,0.65896,0.81037,0.32692,1.89567,2.67603,0.94339,0.0011684,0.0011684,0.0011684
23,603.835,1.69294,2.00044,0.96589,0.96646,0.68421,0.83131,0.33009,1.81775,2.57079,0.92359,0.0011288,0.0011288,0.0011288
24,628.268,1.94814,2.943,0.96669,1,0.73408,0.85166,0.26996,2.19854,2.67795,0.96833,0.0010892,0.0010892,0.0010892
25,652.561,1.87501,2.30857,0.94337,0.91823,0.73684,0.85182,0.35416,1.99147,2.45446,0.9609,0.0010496,0.0010496,0.0010496
26,684.589,1.66046,1.86447,0.89885,0.93117,0.71289,0.8446,0.38151,1.83461,2.29991,0.94006,0.00101,0.00101,0.00101
27,711.535,1.61236,1.72879,0.92431,0.9141,0.73684,0.8524,0.37032,1.88512,2.21773,0.9465,0.0009704,0.0009704,0.0009704
28,739.733,1.63207,1.78244,0.91797,0.867,0.73684,0.74592,0.21476,2.12175,2.32397,0.95261,0.0009308,0.0009308,0.0009308
29,768.544,1.6892,1.81267,0.96835,0.92887,0.68746,0.76914,0.23503,2.0397,2.21977,0.93319,0.0008912,0.0008912,0.0008912
30,793.553,1.68086,1.83058,0.91312,0.93232,0.72559,0.87988,0.3677,1.73649,2.12825,0.89776,0.0008516,0.0008516,0.0008516
31,818.265,1.71645,1.65465,0.98112,0.93681,0.78081,0.85595,0.37769,1.57361,1.93435,0.89,0.000812,0.000812,0.000812
