epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9319,2.47259,9.31677,1.24151,0.00017,0.05263,0.0001,5e-05,2.51817,8.94675,1.07627,0.0001,0.0001,0.0001
2,51.5021,2.19004,7.28871,1.08265,0.0005,0.15789,0.00363,0.00146,2.28995,8.0438,0.98426,0.000217822,0.000217822,0.000217822
3,74.7697,1.98332,5.04593,1.04867,0.00083,0.26316,0.01178,0.00254,2.11807,7.81,0.94216,0.000333268,0.000333268,0.000333268
4,98.8779,2.09256,6.91678,1.02805,0.00067,0.21053,0.00081,0.00043,2.1338,7.53346,0.93451,0.000446338,0.000446338,0.000446338
5,123.259,2.06896,5.32958,0.97206,0.00117,0.36842,0.00094,0.00028,2.042,7.31601,0.9233,0.000557032,0.000557032,0.000557032
6,146.837,1.88822,3.75777,1.02705,0.00017,0.05263,0.0001,5e-05,1.8588,7.08379,0.91919,0.00066535,0.00066535,0.00066535
7,170.009,1.81955,3.24086,0.97132,0.00067,0.21053,0.00041,0.00014,1.77425,6.73227,0.90972,0.000771292,0.000771292,0.000771292
8,193.539,1.94275,4.34693,0.98273,0.00133,0.42105,0.00104,0.00048,1.92851,6.1827,0.95639,0.000874858,0.000874858,0.000874858
9,217.058,1.75589,3.14188,0.99885,0.0015,0.47368,0.0014,0.00058,2.18372,6.19359,1.01661,0.000976048,0.000976048,0.000976048
10,239.298,1.96832,4.57233,0.95168,0.0015,0.47368,0.00131,0.00053,2.2129,5.8492,1.00946,0.00107486,0.00107486,0.00107486
11,261.591,1.77265,2.7632,1.04111,0.002,0.63158,0.06641,0.03793,1.9352,5.28741,0.95566,0.0011713,0.0011713,0.0011713
12,287.05,1.86741,3.12586,0.98627,0.00217,0.68421,0.18478,0.10557,1.76224,5.36029,0.90583,0.00126536,0.00126536,0.00126536
13,310.898,1.91867,2.74558,1.03525,0.00217,0.68421,0.47608,0.21025,1.8717,4.69144,0.90915,0.00135705,0.00135705,0.00135705
14,334.398,1.83653,2.55648,0.97447,1,0.45031,0.6742,0.23252,2.00144,4.47698,0.95156,0.00144636,0.00144636,0.00144636
15,357.797,2.14414,3.19081,1.06492,0.88614,0.41065,0.62072,0.20839,2.2051,4.63607,1.01415,0.00153329,0.00153329,0.00153329
16,380.772,1.99265,2.67798,0.99505,1,0.41899,0.66969,0.18852,2.49121,4.10338,1.05255,0.00161785,0.00161785,0.00161785
17,403.251,1.76174,2.18417,0.98645,1,0.53754,0.7489,0.22222,2.30505,3.85773,1.01171,0.0016832,0.0016832,0.0016832
18,425.618,1.77872,2.02712,0.97535,0.89622,0.68421,0.73867,0.33324,1.92441,3.32227,0.93296,0.0016634,0.0016634,0.0016634
19,452.132,1.90051,2.25055,1.00793,0.8277,0.68421,0.7324,0.33009,1.92349,3.20685,0.92514,0.0016436,0.0016436,0.0016436
20,482.876,1.73964,2.17962,0.97461,0.89153,0.63158,0.68785,0.3008,1.99872,2.66007,0.98944,0.0016238,0.0016238,0.0016238
21,510.073,2.00154,1.98283,1.08969,1,0.68253,0.78951,0.30956,1.96741,2.49807,0.98508,0.001604,0.001604,0.001604
22,533.657,1.9483,2.48701,1.01689,0.89313,0.63158,0.76658,0.33049,1.99629,2.66677,0.97131,0.0015842,0.0015842,0.0015842
23,557.02,1.78414,2.03757,1.00575,0.99566,0.68421,0.80415,0.35769,1.94732,2.56933,0.96111,0.0015644,0.0015644,0.0015644
24,582.703,2.01912,2.74246,0.96188,0.8978,0.68421,0.72294,0.31534,1.89307,2.49796,0.93813,0.0015446,0.0015446,0.0015446
25,610.717,1.85836,2.19854,0.94856,0.84442,0.68421,0.71763,0.31872,1.92351,2.52313,0.94457,0.0015248,0.0015248,0.0015248
26,636.132,1.4657,1.60254,0.91797,0.94344,0.68421,0.7968,0.34968,1.90052,2.30695,0.9487,0.001505,0.001505,0.001505
27,662.587,1.61461,1.58353,0.92004,0.90032,0.68421,0.75905,0.34143,1.91035,2.32738,0.95434,0.0014852,0.0014852,0.0014852
